Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud
05,ANTIOQUIA,05001,MEDELLÍN,Municipio,"-75,581775","6,246631"
05,ANTIOQUIA,05002,ABEJORRAL,Municipio,"-75,428739","5,789315"
05,ANTIOQUIA,05004,ABRIAQUÍ,Municipio,"-76,064304","6,632282"
05,ANTIOQUIA,05021,ALEJANDRÍA,Municipio,"-75,141346","6,376061"
05,ANTIOQUIA,05030,AMAGÁ,Municipio,"-75,702188","6,038708"
05,ANTIOQUIA,05031,AMALFI,Municipio,"-75,077501","6,909655"
05,ANTIOQUIA,05034,ANDES,Municipio,"-75,878828","5,657194"
05,ANTIOQUIA,05036,ANGELÓPOLIS,Municipio,"-75,711389","6,109719"
05,ANTIOQUIA,05038,ANGOSTURA,Municipio,"-75,335116","6,885175"
05,ANTIOQUIA,05040,ANORÍ,Municipio,"-75,148355","7,074703"
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,Municipio,"-75,826648","6,556484"
05,ANTIOQUIA,05044,ANZÁ,Municipio,"-75,854442","6,302641"
05,ANTIOQUIA,05045,APARTADÓ,Municipio,"-76,625279","7,882968"
05,ANTIOQUIA,05051,ARBOLETES,Municipio,"-76,426708","8,849317"
05,ANTIOQUIA,05055,ARGELIA,Municipio,"-75,14107","5,731474"
05,ANTIOQUIA,05059,ARMENIA,Municipio,"-75,786647","6,155667"
05,ANTIOQUIA,05079,BARBOSA,Municipio,"-75,331627","6,439195"
05,ANTIOQUIA,05086,BELMIRA,Municipio,"-75,667779","6,606319"
05,ANTIOQUIA,05088,BELLO,Municipio,"-75,555245","6,333587"
05,ANTIOQUIA,05091,BETANIA,Municipio,"-75,97679","5,74615"
05,ANTIOQUIA,05093,BETULIA,Municipio,"-75,984452","6,115208"
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,Municipio,"-76,021509","5,850273"
05,ANTIOQUIA,05107,BRICEÑO,Municipio,"-75,55036","7,112803"
05,ANTIOQUIA,05113,BURITICÁ,Municipio,"-75,907","6,720759"
05,ANTIOQUIA,05120,CÁCERES,Municipio,"-75,35205","7,578366"
05,ANTIOQUIA,05125,CAICEDO,Municipio,"-75,98293","6,405607"
05,ANTIOQUIA,05129,CALDAS,Municipio,"-75,633673","6,091077"
05,ANTIOQUIA,05134,CAMPAMENTO,Municipio,"-75,298091","6,979771"
05,ANTIOQUIA,05138,CAÑASGORDAS,Municipio,"-76,028228","6,753859"
05,ANTIOQUIA,05142,CARACOLÍ,Municipio,"-74,757421","6,409829"
05,ANTIOQUIA,05145,CARAMANTA,Municipio,"-75,643868","5,54853"
05,ANTIOQUIA,05147,CAREPA,Municipio,"-76,652652","7,755148"
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,Municipio,"-75,333901","6,082885"
05,ANTIOQUIA,05150,CAROLINA,Municipio,"-75,283192","6,725995"
05,ANTIOQUIA,05154,CAUCASIA,Municipio,"-75,197996","7,977278"
05,ANTIOQUIA,05172,CHIGORODÓ,Municipio,"-76,681531","7,666147"
05,ANTIOQUIA,05190,CISNEROS,Municipio,"-75,087047","6,537829"
05,ANTIOQUIA,05197,COCORNÁ,Municipio,"-75,185483","6,058295"
05,ANTIOQUIA,05206,CONCEPCIÓN,Municipio,"-75,257587","6,394348"
05,ANTIOQUIA,05209,CONCORDIA,Municipio,"-75,908448","6,045738"
05,ANTIOQUIA,05212,COPACABANA,Municipio,"-75,509384","6,348557"
05,ANTIOQUIA,05234,DABEIBA,Municipio,"-76,261614","6,998112"
05,ANTIOQUIA,05237,DONMATÍAS,Municipio,"-75,39263","6,485603"
05,ANTIOQUIA,05240,EBÉJICO,Municipio,"-75,766413","6,325615"
05,ANTIOQUIA,05250,EL BAGRE,Municipio,"-74,799097","7,5975"
05,ANTIOQUIA,05264,ENTRERRÍOS,Municipio,"-75,517685","6,566273"
05,ANTIOQUIA,05266,ENVIGADO,Municipio,"-75,582192","6,166695"
05,ANTIOQUIA,05282,FREDONIA,Municipio,"-75,675072","5,928039"
05,ANTIOQUIA,05284,FRONTINO,Municipio,"-76,130765","6,776066"
05,ANTIOQUIA,05306,GIRALDO,Municipio,"-75,952158","6,680808"
05,ANTIOQUIA,05308,GIRARDOTA,Municipio,"-75,444238","6,379472"
05,ANTIOQUIA,05310,GÓMEZ PLATA,Municipio,"-75,220018","6,683269"
05,ANTIOQUIA,05313,GRANADA,Municipio,"-75,184446","6,142892"
05,ANTIOQUIA,05315,GUADALUPE,Municipio,"-75,239862","6,815069"
05,ANTIOQUIA,05318,GUARNE,Municipio,"-75,441612","6,27787"
05,ANTIOQUIA,05321,GUATAPÉ,Municipio,"-75,160041","6,232461"
05,ANTIOQUIA,05347,HELICONIA,Municipio,"-75,734322","6,206757"
05,ANTIOQUIA,05353,HISPANIA,Municipio,"-75,906587","5,799461"
05,ANTIOQUIA,05360,ITAGÜÍ,Municipio,"-75,612056","6,175079"
05,ANTIOQUIA,05361,ITUANGO,Municipio,"-75,764673","7,171629"
05,ANTIOQUIA,05364,JARDÍN,Municipio,"-75,818982","5,597542"
05,ANTIOQUIA,05368,JERICÓ,Municipio,"-75,785499","5,789748"
05,ANTIOQUIA,05376,LA CEJA,Municipio,"-75,429433","6,028062"
05,ANTIOQUIA,05380,LA ESTRELLA,Municipio,"-75,637708","6,145238"
05,ANTIOQUIA,05390,LA PINTADA,Municipio,"-75,60781","5,743808"
05,ANTIOQUIA,05400,LA UNIÓN,Municipio,"-75,360874","5,973845"
05,ANTIOQUIA,05411,LIBORINA,Municipio,"-75,812838","6,677316"
05,ANTIOQUIA,05425,MACEO,Municipio,"-74,78716","6,552116"
05,ANTIOQUIA,05440,MARINILLA,Municipio,"-75,339345","6,173995"
05,ANTIOQUIA,05467,MONTEBELLO,Municipio,"-75,523455","5,946313"
05,ANTIOQUIA,05475,MURINDÓ,Municipio,"-76,817485","6,97771"
05,ANTIOQUIA,05480,MUTATÁ,Municipio,"-76,435875","7,242875"
05,ANTIOQUIA,05483,NARIÑO,Municipio,"-75,176262","5,610777"
05,ANTIOQUIA,05490,NECOCLÍ,Municipio,"-76,787271","8,434526"
05,ANTIOQUIA,05495,NECHÍ,Municipio,"-74,77647","8,094129"
05,ANTIOQUIA,05501,OLAYA,Municipio,"-75,811773","6,626492"
05,ANTIOQUIA,05541,PEÑOL,Municipio,"-75,242693","6,219349"
05,ANTIOQUIA,05543,PEQUE,Municipio,"-75,910357","7,021029"
05,ANTIOQUIA,05576,PUEBLORRICO,Municipio,"-75,839903","5,79158"
05,ANTIOQUIA,05579,PUERTO BERRÍO,Municipio,"-74,410016","6,487028"
05,ANTIOQUIA,05585,PUERTO NARE,Municipio,"-74,583012","6,186025"
05,ANTIOQUIA,05591,PUERTO TRIUNFO,Municipio,"-74,64119","5,871318"
05,ANTIOQUIA,05604,REMEDIOS,Municipio,"-74,698135","7,029424"
05,ANTIOQUIA,05607,RETIRO,Municipio,"-75,501301","6,062454"
05,ANTIOQUIA,05615,RIONEGRO,Municipio,"-75,377316","6,147148"
05,ANTIOQUIA,05628,SABANALARGA,Municipio,"-75,816645","6,850028"
05,ANTIOQUIA,05631,SABANETA,Municipio,"-75,615479","6,149903"
05,ANTIOQUIA,05642,SALGAR,Municipio,"-75,976807","5,964198"
05,ANTIOQUIA,05647,SAN ANDRÉS DE CUERQUÍA,Municipio,"-75,674564","6,916676"
05,ANTIOQUIA,05649,SAN CARLOS,Municipio,"-74,988097","6,187746"
05,ANTIOQUIA,05652,SAN FRANCISCO,Municipio,"-75,101562","5,963476"
05,ANTIOQUIA,05656,SAN JERÓNIMO,Municipio,"-75,726975","6,44809"
05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,Municipio,"-75,683352","6,85009"
05,ANTIOQUIA,05659,SAN JUAN DE URABÁ,Municipio,"-76,52857","8,758964"
05,ANTIOQUIA,05660,SAN LUIS,Municipio,"-74,993619","6,043017"
05,ANTIOQUIA,05664,SAN PEDRO DE LOS MILAGROS,Municipio,"-75,556743","6,46012"
05,ANTIOQUIA,05665,SAN PEDRO DE URABÁ,Municipio,"-76,380567","8,276884"
05,ANTIOQUIA,05667,SAN RAFAEL,Municipio,"-75,02849","6,293759"
05,ANTIOQUIA,05670,SAN ROQUE,Municipio,"-75,019109","6,485939"
05,ANTIOQUIA,05674,SAN VICENTE FERRER,Municipio,"-75,332616","6,282164"
05,ANTIOQUIA,05679,SANTA BÁRBARA,Municipio,"-75,567351","5,875527"
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,Municipio,"-75,460723","6,643366"
05,ANTIOQUIA,05690,SANTO DOMINGO,Municipio,"-75,164903","6,473032"
05,ANTIOQUIA,05697,EL SANTUARIO,Municipio,"-75,265465","6,136871"
05,ANTIOQUIA,05736,SEGOVIA,Municipio,"-74,701596","7,079648"
05,ANTIOQUIA,05756,SONSÓN,Municipio,"-75,309596","5,714851"
05,ANTIOQUIA,05761,SOPETRÁN,Municipio,"-75,747378","6,500745"
05,ANTIOQUIA,05789,TÁMESIS,Municipio,"-75,714429","5,664645"
05,ANTIOQUIA,05790,TARAZÁ,Municipio,"-75,401407","7,580127"
05,ANTIOQUIA,05792,TARSO,Municipio,"-75,822956","5,864542"
05,ANTIOQUIA,05809,TITIRIBÍ,Municipio,"-75,791887","6,062391"
05,ANTIOQUIA,05819,TOLEDO,Municipio,"-75,692281","7,010328"
05,ANTIOQUIA,05837,TURBO,Municipio,"-76,728858","8,089929"
05,ANTIOQUIA,05842,URAMITA,Municipio,"-76,173284","6,898393"
05,ANTIOQUIA,05847,URRAO,Municipio,"-76,133951","6,317343"
05,ANTIOQUIA,05854,VALDIVIA,Municipio,"-75,439274","7,1652"
05,ANTIOQUIA,05856,VALPARAÍSO,Municipio,"-75,624452","5,614555"
05,ANTIOQUIA,05858,VEGACHÍ,Municipio,"-74,798714","6,773525"
05,ANTIOQUIA,05861,VENECIA,Municipio,"-75,735544","5,964693"
05,ANTIOQUIA,05873,VIGÍA DEL FUERTE,Municipio,"-76,896004","6,588164"
05,ANTIOQUIA,05885,YALÍ,Municipio,"-74,840059","6,676554"
05,ANTIOQUIA,05887,YARUMAL,Municipio,"-75,418828","6,963832"
05,ANTIOQUIA,05890,YOLOMBÓ,Municipio,"-75,013385","6,594511"
